Dataset identifier,Source identifier,Study identifier,Independent screen identifier,Data source,Observations (n),Accessions or lines assessed (n),Diseases (n),Endpoints (n),Environments (n),Study roles,Pareto analysis identifier,Candidate criteria applied (n),Candidates (n),Role in the analysis
ref_gaffoor_pennsylvania_anthracnose_2021,ref_gaffoor_pennsylvania_anthracnose_2021,ref_gaffoor_pennsylvania_anthracnose_2021,experiment:gaffoor_pennsylvania_anthracnose_selected_subset_2016,Publicly available study source,490,35,1,7,2,Line selected for favorable disease response; Resistant control; Susceptible control,,1,3,Candidates reported from a subset selected by outcome
ref_girma_ethiopian_head_smut_2019,ref_girma_ethiopian_head_smut_2019,ref_girma_ethiopian_head_smut_2019,experiment:ref_girma_ethiopian_head_smut_2019,Publicly available study source,2850,1425,1,1,2,Genotype,pareto_girma_head_smut_years,1,841,Candidate criterion applied
ref_hess_mali_anthracnose_2002,ref_hess_mali_anthracnose_2002,ref_hess_mali_anthracnose_2002,experiment:hess_mali_longorola_samanko_anthracnose_1996_1998,Publicly available study source,168,21,1,8,1,Line; Resistant check; Susceptible check,pareto_hess_mali_anthracnose_organs,0,0,Summary of a selected panel
ref_koima_kenya_anthracnose_2023,ref_koima_kenya_anthracnose_2023,ref_koima_kenya_anthracnose_2023_field,experiment:ref_koima_kenya_anthracnose_2023,Publicly available study source,168,15,1,3,4,Genotype; Susceptible control,pareto_koima_field_anthracnose_locations,5,5,Candidate criterion applied
ref_koima_kenya_anthracnose_2023,ref_koima_kenya_anthracnose_2023,ref_koima_kenya_anthracnose_2023_greenhouse,experiment:ref_koima_kenya_anthracnose_2023,Publicly available study source,42,14,1,3,1,Genotype; Susceptible control,,1,4,Candidate criterion applied
ref_komolong_ergot_ovary_2003,ref_komolong_ergot_ovary_2003,ref_komolong_ergot_ovary_2003,experiment:komolong_brisbane_ergot_ovary_colonization,Publicly available study source,36,4,1,2,12,Male sterile line previously ergot resistant; Male sterile line previously most susceptible,,0,0,Mechanistic factorial experiment
ref_kumar_icrisat_grain_mold_hybrids_2008,ref_kumar_icrisat_grain_mold_hybrids_2008,ref_kumar_icrisat_grain_mold_hybrids_2008,experiment:icrisat_patancheru_grain_mold_2006_2007,Publicly available study source,25,25,1,1,1,B line parent; Grain mold resistant landrace control; Grain mold susceptible cultivar control; High yielding b line control; Popular hybrid control; R line parent; Test hybrid,,2,7,Candidates reported from a designed hybrid trial
ref_mcmahan_conversion_panel_leaf_blight_2020,ref_mcmahan_conversion_panel_leaf_blight_2020,ref_mcmahan_conversion_panel_leaf_blight_2020,experiment:zhang_sorghum_conversion_panel_leaf_blight_2016_2018,Publicly available study source,2784,696,1,2,4,Resistant check; Susceptible check with conflicting source identifiers; Sorghum conversion panel line,,0,0,Descriptive BLUP summary
ref_mekonen_ethiopia_anthracnose_pathotypes_2024,ref_mekonen_ethiopia_anthracnose_pathotypes_2024,ref_mekonen_ethiopia_anthracnose_pathotypes_2024,experiment:ref_mekonen_ethiopia_anthracnose_pathotypes_2024,Publicly available study source,700,53,1,4,27,Differential line; Pathogen isolate,,0,0,Pathogen differential study
ref_mengistu_ethiopia_anthracnose_2021,ref_mengistu_ethiopia_anthracnose_2021,ref_mengistu_ethiopia_anthracnose_2021,experiment:ref_mengistu_ethiopia_anthracnose_2021,Publicly available study source,732,366,1,2,1,Genotype; Susceptible check,pareto_mengistu_anthracnose_endpoints,0,0,Sensitivity analysis of candidates reported by the authors
