Independent screen identifier,Type of candidate criterion,Dataset identifiers,Study identifiers,Study roles,Source criterion identifiers,Responses covered by the criterion,Candidate criteria (n),Accessions or lines assessed (n),Candidates (n),Candidates among those assessed (proportion)
experiment:prom_senegal_long_smut_grain_mold_2011_2012,Criterion reported or supported by the source,prom_lines_long_smut_grain_mold_2017; prom_us_lines_long_smut_grain_mold_2018,prom_lines_long_smut_grain_mold_2017; prom_us_lines_long_smut_grain_mold_2018,Line or hybrid; U.S. line or hybrid,source_supported_numeric_resistance_rule,Separate criterion for each disease,4,3,0,0
experiment:prom_senegal_seed_quality_2018,Complete set of criteria used in the primary analysis,prom_senegal_seed_quality_2018,prom_senegal_seed_quality_2018,Accession,source_reported_table_4,Separate criteria spanning multiple diseases,2,158,14,0.0886075949367088
experiment:prom_senegal_seed_quality_2018,Criterion reported or supported by the source,prom_senegal_seed_quality_2018,prom_senegal_seed_quality_2018,Accession,source_reported_table_4,Separate criteria spanning multiple diseases,2,158,14,0.0886075949367088
experiment:prom_senegal_seedling_head_smut_p5_2022,Complete set of criteria used in the primary analysis,prom_senegal_seedling_head_smut_p5_2022,prom_senegal_seedling_head_smut_p5_2022,Accession,source_reported_no_infection,Separate criterion for each disease,1,163,17,0.1042944785276073
experiment:prom_senegal_seedling_head_smut_p5_2022,Criterion reported or supported by the source,prom_senegal_seedling_head_smut_p5_2022,prom_senegal_seedling_head_smut_p5_2022,Accession,source_reported_no_infection,Separate criterion for each disease,1,163,17,0.1042944785276073
experiment:prom_sudan_anthracnose_2020,Complete set of criteria used in the primary analysis,prom_sudan_anthracnose_2020,prom_sudan_anthracnose_2020,Accession,source_reported_classification; source_supported_location_resistance_rule,Separate disease criteria combining multiple environments,2,255,55,0.2156862745098039
experiment:prom_sudan_anthracnose_2020,Criterion reported or supported by the source,prom_sudan_anthracnose_2020,prom_sudan_anthracnose_2020,Accession,source_reported_classification,Separate criterion for each disease,1,255,55,0.2156862745098039
experiment:prom_sudan_anthracnose_2020,Criterion reconstructed from a source-defined threshold,prom_sudan_anthracnose_2020,prom_sudan_anthracnose_2020,Accession,source_supported_location_resistance_rule,Criterion combines multiple environments,1,57,46,0.8070175438596491
experiment:prom_sudan_rust_2025,Complete set of criteria used in the primary analysis,prom_sudan_rust_2025,prom_sudan_rust_2025,Accession,source_reported_classification,Separate criterion for each disease,1,268,18,0.0671641791044776
experiment:prom_sudan_rust_2025,Criterion reported or supported by the source,prom_sudan_rust_2025,prom_sudan_rust_2025,Accession,source_reported_classification,Separate criterion for each disease,1,268,18,0.0671641791044776
experiment:prom_weather_anthracnose_texas_2009_paired_crop_regrowth,Complete set of criteria used in the primary analysis,prom_weather_anthracnose_genotypes_2015,prom_weather_anthracnose_genotypes_2015,Accession,source_reported_stable_resistance_rule,Criterion combines multiple environments,1,68,19,0.2794117647058823
experiment:prom_weather_anthracnose_texas_2009_paired_crop_regrowth,Criterion reported or supported by the source,prom_weather_anthracnose_genotypes_2015,prom_weather_anthracnose_genotypes_2015,Accession,source_reported_stable_resistance_rule,Criterion combines multiple environments,1,68,19,0.2794117647058823
experiment:prom_zimbabwe_rust_isabela_2011,Complete set of criteria used in the primary analysis,prom_zimbabwe_rust_2012,prom_zimbabwe_rust_2012,Accession,source_supported_numeric_resistance_rule,Separate criterion for each disease,1,68,12,0.1764705882352941
experiment:prom_zimbabwe_rust_isabela_2011,Criterion reported or supported by the source,prom_zimbabwe_rust_2012,prom_zimbabwe_rust_2012,Accession,source_supported_numeric_resistance_rule,Separate criterion for each disease,1,68,12,0.1764705882352941
experiment:prom_zonate_leaf_spot_burleson_2021,Complete set of criteria used in the primary analysis,prom_zonate_leaf_spot_2021,prom_zonate_leaf_spot_2021,Accession or line,source_supported_numeric_resistance_rule,Separate criterion for each disease,1,59,11,0.1864406779661017
experiment:prom_zonate_leaf_spot_burleson_2021,Criterion reported or supported by the source,prom_zonate_leaf_spot_2021,prom_zonate_leaf_spot_2021,Accession or line,source_supported_numeric_resistance_rule,Separate criterion for each disease,1,59,11,0.1864406779661017
experiment:ref_aragaw_terefe_eastern_ethiopia_anthracnose_2024,Complete set of criteria used in the primary analysis,ref_aragaw_terefe_eastern_ethiopia_anthracnose_2024,ref_aragaw_terefe_eastern_ethiopia_anthracnose_2024,Genotype,source_reported_reaction_class,Separate disease criteria combining multiple environments,3,46,19,0.4130434782608695
experiment:ref_aragaw_terefe_eastern_ethiopia_anthracnose_2024,Criterion reported or supported by the source,ref_aragaw_terefe_eastern_ethiopia_anthracnose_2024,ref_aragaw_terefe_eastern_ethiopia_anthracnose_2024,Genotype,source_reported_reaction_class,Separate disease criteria combining multiple environments,3,46,19,0.4130434782608695
experiment:ref_girma_ethiopian_head_smut_2019,Complete set of criteria used in the primary analysis,ref_girma_ethiopian_head_smut_2019,ref_girma_ethiopian_head_smut_2019,Genotype,source_defined_highest_response_class,Criterion combines multiple environments,1,1240,835,0.6733870967741935
experiment:ref_girma_ethiopian_head_smut_2019,Criterion reported or supported by the source,ref_girma_ethiopian_head_smut_2019,ref_girma_ethiopian_head_smut_2019,Genotype,source_defined_highest_response_class,Criterion combines multiple environments,1,1240,835,0.6733870967741935
experiment:senegal_seedling_anthracnose,Complete set of criteria used in the primary analysis,senegal_seedling_anthracnose,ahn_2022_seedling_anthracnose,Test accession,source_reported_rule,Separate criterion for each disease,1,159,143,0.89937106918239
experiment:senegal_seedling_anthracnose,Criterion reported or supported by the source,senegal_seedling_anthracnose,ahn_2022_seedling_anthracnose,Test accession,source_reported_rule,Separate criterion for each disease,1,159,143,0.89937106918239
experiment:sweet_sorghum_multilocation_anthracnose,Complete set of criteria used in the primary analysis,prom_sweet_anthracnose_2023,prom_sweet_anthracnose_2023,Accession,source_supported_location_resistance_rule,Criterion combines multiple environments,1,223,26,0.116591928251121
experiment:sweet_sorghum_multilocation_anthracnose,Criterion reconstructed from a source-defined threshold,prom_sweet_anthracnose_2023,prom_sweet_anthracnose_2023,Accession,source_supported_location_resistance_rule,Criterion combines multiple environments,1,223,26,0.116591928251121
experiment:uganda_downy_mildew_two_location_2016,Complete set of criteria used in the primary analysis,prom_uganda_downy_mildew_2019,prom_uganda_downy_mildew_2019,Introduced accession,source_reported_article_recommendation; source_reported_reaction_class,Separate disease criteria combining multiple environments,2,3,1,0.3333333333333333
experiment:uganda_downy_mildew_two_location_2016,Criterion reported or supported by the source,prom_uganda_downy_mildew_2019,prom_uganda_downy_mildew_2019,Introduced accession,source_reported_article_recommendation; source_reported_reaction_class,Separate disease criteria combining multiple environments,2,3,1,0.3333333333333333
experiment_set:sharma_minicore_anthracnose_2009_2010+sharma_minicore_leaf_blight_2009_2010+sharma_minicore_rust_2010,Complete set of criteria used in the primary analysis,ref_sharma_minicore_foliar_diseases_2012,ref_sharma_minicore_foliar_diseases_2012,Accession,article_table_reconstruction_from_reported_threshold; intersection_of_source_reported_resistance_thresholds; source_reported_resistance_threshold,Separate criteria spanning multiple diseases and environments,4,38,38,1
experiment_set:sharma_minicore_anthracnose_2009_2010+sharma_minicore_leaf_blight_2009_2010+sharma_minicore_rust_2010,Criterion reported or supported by the source,ref_sharma_minicore_foliar_diseases_2012,ref_sharma_minicore_foliar_diseases_2012,Accession,source_reported_resistance_threshold,Separate disease criteria combining multiple environments,2,38,29,0.7631578947368421
experiment_set:sharma_minicore_anthracnose_2009_2010+sharma_minicore_leaf_blight_2009_2010+sharma_minicore_rust_2010,Criterion reconstructed from a source-defined threshold,ref_sharma_minicore_foliar_diseases_2012,ref_sharma_minicore_foliar_diseases_2012,Accession,article_table_reconstruction_from_reported_threshold; intersection_of_source_reported_resistance_thresholds,Criterion spans multiple diseases and environments,2,38,12,0.3157894736842105
